id,width,height,area
gri_2010_m_64_33_pm,5617,3896,21883832
gri_2010_m_64_63_pm,5617,3896,21883832
gri_2010_m_65_0000_1fc_pm,5319,7163,38099997
gri_2010_m_65_0014_pm,5319,7163,38099997
gri_2010_m_65_0025_pm,5319,7163,38099997
gri_2011_m_34_001_pm,6145,15009,92230305
gri_2011_pr_29_004_mm,6260,2766,17315160
gri_2011_pr_29_013_mm,7203,1844,13282332
gri_2012_m_54_b14_031_mm,6730,4890,32909700
gri_2012_pr_102_pm,9709,6593,64011437
gri_2012_r_11_001_pm,6209,7921,49181489
gri_2013_m_24_001_mm,4339,5279,22905581
gri_2013_m_24_124_mm,7166,4561,32684126
gri_2013_m_24_190_mm,7221,4561,32934981
gri_2013_m_26_001_mm,3321,4036,13403556
gri_2013_m_26_004_mm,7012,4123,28910476
gri_2013_pr_37_01_mm,6530,4805,31376650
gri_2013_pr_37_02_mm,4700,7785,36589500
gri_2014_pr_24_001_mm,15792,7197,113655024
gri_2014_pr_63_001_pm,8245,6547,53980015
gri_2015_m_41_001_mm,3630,5480,19892400
gri_2015_r_15_b1_v055_mm,6709,5329,35752261
gri_2015_r_15_b1_v068_mm,5396,6718,36250328
gri_2015_r_15_pano_095_098_mm,27150,5700,154755000
gri_2016_pr_16_001_mm,4394,3359,14759446
gri_2017_pr_14_001_mm,7493,9720,72831960
gri_2017_pr_17_f01_001_mm,6933,4613,31981929
gri_2017_r_16_b01_001_mm,5712,7090,40498080
gri_2018_pr_10_001_mm,7447,5848,43550056
gri_2018_pr_3_001_mm,6694,9991,66879754
gri_2018_pr_4_001_mm,8743,6458,56462294
gri_2018_r_6_007_mm,5901,4897,28897197
gri_2567_605_001_pm,6972,4204,29310288
gri_2567_605_005_pm,6972,4204,29310288
gri_2873_944_000_1fc_pm,8100,6000,48600000
gri_2873_944_001_pm,8099,6019,48747881
gri_2873_944_004_pm,6019,8099,48747881
gri_3025_736_001_mm,3778,4945,18682210
gri_33125000139986_0100,4364,3364,14680496
gri_33125001394093_0133,2760,3756,10366560
gri_33125001394093_0137,2745,3756,10310220
gri_33125005959479_0272,2342,3000,7026000
gri_33125006090696_0017,3348,4496,15052608
gri_33125006090696_0020,3400,4496,15286400
gri_33125006090696_0161,3384,4496,15214464
gri_33125006553867_0001,2137,3000,6411000
gri_33125007814284_0001,2766,3880,10732080
gri_33125007814284_0097,2373,3800,9017400
gri_33125008235232_0001,2479,3000,7437000
gri_33125008235232_0064,2417,3000,7251000
gri_33125008235232_0065,2344,3000,7032000
gri_33125008251650_0023,2228,3000,6684000
gri_33125008561694_0052,2736,4333,11855088
gri_33125008561694_0054,2620,4340,11370800
gri_33125008616647_0032,5114,7972,40768808
gri_33125008616647_0033,4954,7836,38819544
gri_33125008756351_0001,3420,4304,14719680
gri_33125010231724_0010,2508,3657,9171756
gri_33125010231724_0131,2512,3660,9193920
gri_33125010330880_0003,2296,3000,6888000
gri_33125010330880_0047,2244,3000,6732000
gri_33125010330880_0059,2286,3000,6858000
gri_33125010355846_0017,2135,3000,6405000
gri_33125010355846_0175,2160,3000,6480000
gri_33125010391643_0011,2573,4184,10765432
gri_33125010501795_0017,2170,3000,6510000
gri_33125010501795_0027,2167,3000,6501000
gri_33125010706824_0001,2322,3000,6966000
gri_33125010706824_0066,2244,3000,6732000
gri_33125012280513_0001,2483,3234,8030022
gri_33125012901464_0041,5155,7299,37626345
gri_33125012901464_0060,5246,7314,38369244
gri_33125012901464_0100,5246,7276,38169896
gri_33125012901464_0110,5246,7244,38002024
gri_33125012902181_0001,2980,3819,11380620
gri_33125012902181_0011,3601,4924,17731324
gri_33125013775313_0008,1832,2928,5364096
gri_33125013775362_0006,2100,3316,6963600
gri_33125013775362_0196,2049,3316,6794484
gri_33125013784588_0001,3957,5081,20105517
gri_33125013784588_0011,3505,5000,17525000
gri_33125013853631_0001,2771,4061,11253031
gri_33125013853631_0015,2497,3976,9928072
gri_33125013896234_0014,3000,2365,7095000
gri_33125013896234_0015,3000,2347,7041000
gri_33125013925132_0001,3830,4883,18701890
gri_33125013925132_0003,3717,4902,18220734
gri_33125013925132_0005,3617,4824,17448408
gri_33125014180802_0001,2405,3000,7215000
gri_33125014180802_0026,2263,3000,6789000
gri_33125014435941_0019,3000,2224,6672000
gri_33125015025386_0008,2720,4227,11497440
gri_33125015025386_0031,5780,4255,24593900
gri_33125015025386_0043,2685,4233,11365605
gri_33125015064559_0007,2219,3000,6657000
gri_33125015064559_0021,2215,3000,6645000
gri_33125015156645_0001,2977,4075,12131275
gri_33125015156645_0016,2432,3868,9406976
gri_850154_001_pm,12048,4372,52673856
gri_850837f5_001_pm,3628,2845,10321660
gri_850837f5_005_pm,6710,3008,20183680
gri_850998_ff001_001_mm,6440,6880,44307200
gri_850998_ff031_007_mm,9159,5555,50878245
gri_860075_01_01_pm,5695,4478,25502210
gri_860075_04_01_pm,4717,2917,13759489
gri_860525_b01_f21_001_mm,3048,5547,16907256
gri_860525_b01_f63_001_mm,2959,4631,13703129
gri_860525_b02_f13_003_mm,4628,5623,26023244
gri_860525_b04_f11_004_mm,3216,4946,15906336
gri_860525_b05_f40_001_mm,2865,4661,13353765
gri_860525_b05_f42_001_mm,4765,2061,9820665
gri_860525_b05_f54_001_mm,3270,2074,6781980
gri_860525_b06_f06_005_mm,3196,4466,14273336
gri_860525_b06_f06_021_mm,2932,4505,13208660
gri_86_p_8_b188_f1_000a_pm,4911,6267,30777237
gri_86_p_8_b188_f8_013_pm,4823,6295,30360785
gri_86_p_8_b188_f8_017_pm,4823,6295,30360785
gri_86_p_8_b195_f3_001_pm,4821,6301,30377121
gri_86_p_8_b238_f2_001_pm,4825,6298,30387850
gri_86_p_8_b260_f07_034_pm,4251,5584,23737584
gri_86_p_8_b315_f02_038_pm,6120,4680,28641600
gri_86_p_8_b315_f02_116_pm,6120,4680,28641600
gri_86_p_8_b399_f03_003_pm,4275,5667,24226425
gri_86_p_8_b399_f03_010_pm,5674,4232,24012368
gri_870403_01_mm,7601,5008,38065808
gri_870439_000_1fc_pm,4652,5934,27604968
gri_870439_028_pm,6900,4724,32595600
gri_870439_039_pm,6900,4724,32595600
gri_880070_001_pm,8315,4785,39787275
gri_880070_011_pm,7728,6128,47357184
gri_880102_01_mm,5883,8032,47252256
gri_880286_001_mm,5387,7544,40639528
gri_880286_015_mm,5057,7449,37669593
gri_88_b25686_000_fc_pm,6806,5006,34070836
gri_88_b25686_003_pm,6806,5004,34057224
gri_88_b28354_014_pm,6207,8132,50475324
gri_88_b28424_000_fc_pm,8214,4989,40979646
